"","All_MESH","filter_frames","DiseaseName_ARD_Paper","MESH_ID","Category","Likelihood.disease.is.ageing.related","Name_node","Phenotyping_Algorithms","MESH_Term","All_MESH_Terms"
"441","MESH:D017544","r'\babdominal aortic aneurysm\b', r'\babdominal aortic aneurysms\b'","Abdominal Aortic Aneurysm","MESH:D017544","Cardiovascular","High","aaa","Abdominal Aortic Aneurysm","Aortic Aneurysm, Abdominal","Aortic Aneurysm, Abdominal"
"168","MESH:D006550","r'\bfemoral hernias\b', r'\bfemoral hernia\b'","Abdominal Hernia","MESH:D046449","Digestive","High","hernia_abdo","Abdominal Hernia","Hernia, Abdominal","Hernia, Femoral"
"170","MESH:D006552","r'\bdirect inguinal hernia\b', r'\bindirect inguinal hernia\b', r'\bdirect inguinal hernias\b', r'\bindirect inguinal hernias\b', r'\binguinal hernias\b', r'\binguinal hernia\b'","Abdominal Hernia","MESH:D046449","Digestive","High","hernia_abdo","Abdominal Hernia","Hernia, Abdominal","Hernia, Inguinal"
"171","MESH:D006554","r'\bumbilical hernias\b', r'\bumbilical hernia\b', r'\bexomphalos\b', r'\bomphalocele\b', r'\bomphaloceles\b'","Abdominal Hernia","MESH:D046449","Digestive","High","hernia_abdo","Abdominal Hernia","Hernia, Abdominal","Hernia, Umbilical"
"172","MESH:D006555","r'\bventral hernias\b', r'\bventral hernia\b'","Abdominal Hernia","MESH:D046449","Digestive","High","hernia_abdo","Abdominal Hernia","Hernia, Abdominal","Hernia, Ventral"
"514","MESH:D046449","r'\babdominal hernias\b', r'\babdominal hernia\b'","Abdominal Hernia","MESH:D046449","Digestive","High","hernia_abdo","Abdominal Hernia","Hernia, Abdominal","Hernia, Abdominal"
"542","MESH:D055623","r'\bactinic keratoses\b', r'\bactinic keratosis\b'","Actinic keratosis","MESH:D055623","Skin","High","act_keratosis","Actinic keratosis","Keratosis, Actinic","Keratosis, Actinic"
"208","MESH:D007683","r'\blower nephron nephroses\b', r'\blower nephron nephrosis\b', r'\bacute kidney tubular necrosis\b'","Acute Kidney Injury","MESH:D058186","Genitourinary","High","aki","Acute Kidney Injury","Acute Kidney Injury","Kidney Tubular Necrosis, Acute"
"552","MESH:D058186","r'\bacute kidney failure\b', r'\bacute kidney failures\b', r'\bacute kidney injuries\b', r'\bacute kidney injury\b', r'\bacute kidney insufficiencies\b', r'\bacute kidney insufficiency\b', r'\bacute renal failure\b', r'\bacute renal failures\b', r'\bacute renal injuries\b', r'\bacute renal injury\b', r'\bacute renal insufficiencies\b', r'\bacute renal insufficiency\b'","Acute Kidney Injury","MESH:D058186","Genitourinary","High","aki","Acute Kidney Injury","Acute Kidney Injury","Acute Kidney Injury"
"19","MESH:D000380","r'\bagranulocytoses\b', r'\bgranulocytopenia\b', r'\bgranulocytopenias\b', r'\bagranulocytosis\b'","Agranulocytosis","MESH:D000380","Haematological/ Immuunoligcal","High","agranulocytosis","Agranulocytosis","Agranulocytosis","Agranulocytosis"
"254","MESH:D009503","r'\bneutropenias\b', r'\bneutropenia\b'","Agranulocytosis","MESH:D000380","Haematological/ Immuunoligcal","High","agranulocytosis","Agranulocytosis","Agranulocytosis","Neutropenia"
"564","MESH:D064147","r'\bfebrile neutropenia\b', r'\bfebrile neutropenias\b'","Agranulocytosis","MESH:D000380","Haematological/ Immuunoligcal","High","agranulocytosis","Agranulocytosis","Agranulocytosis","Febrile Neutropenia"
"23","MESH:D000740","r'\banemias\b', r'\banemia\b'","Anaemia, other","MESH:D000740","Haematological/ Immuunoligcal","High","oth_anaemia","Anaemia - other","Anemia","Anemia"
"304","MESH:D012010","r'\berythrocyte aplasia\b', r'\bpure red cell aplasia\b', r'\berythrocyte aplasias\b', r'\bpure red cell aplasias\b'","Anaemia, other","MESH:D000740","Haematological/ Immuunoligcal","High","oth_anaemia","Anaemia - other","Anemia","Red-Cell Aplasia, Pure"
"428","MESH:D016888","r'\bangiodysplasias\b', r'\bangiodysplasia\b'","Angiodysplasia of colon","MESH:D016888","Digestive","High","angio_colon","Angiodysplasia of colon","Angiodysplasia","Angiodysplasia"
"303","MESH:D012005","r'\banus prolapse\b', r'\brectal prolapse\b', r'\banus prolapses\b', r'\brectal prolapses\b'","Anorectal Prolapse","MESH:D012005","Digestive","High","anorectal_prolapse","Anorectal Prolapse","Rectal Prolapse","Rectal Prolapse"
"198","MESH:D007500","r'\biritides\b', r'\biritis\b'","Anterior Uveitis","MESH:D014606","Eye","High","ant_uveitis","Anterior Uveitis","Uveitis, Anterior","Iritis"
"367","MESH:D014606","r'\banterior uveitides\b', r'\banterior uveitis\b'","Anterior Uveitis","MESH:D014606","Eye","High","ant_uveitis","Anterior Uveitis","Uveitis, Anterior","Uveitis, Anterior"
"404","MESH:D015863","r'\bheterochromic cyclitides\b', r'\bheterochromic cyclitis\b', r'\biridocyclitides\b', r'\biridocyclitis\b'","Anterior Uveitis","MESH:D014606","Eye","High","ant_uveitis","Anterior Uveitis","Uveitis, Anterior","Iridocyclitis"
"24","MESH:D000741","r'\bhypoplastic anemia\b', r'\baplastic anemias\b', r'\bhypoplastic anemias\b', r'\baplastic anemia\b'","Aplastic Anaemia","MESH:D000741","Haematological/ Immuunoligcal","High","aplastic","Aplastic Anaemias","Anemia, Aplastic","Anemia, Aplastic"
"137","MESH:D005199","r'\bfanconi anemia\b', r'\bfanconis anemia\b', r'\bfanconi anemias\b', r'\bcomplementation group a fanconi anemia\b', r'\bestren dameshek variant fa fanconi anemia\b', r'\bestren dameshek variant of fanconi anemia\b', r'\bestren dameshek variant of fanconi pancytopenia\b', r'\bfanconi hypoplastic anemia\b', r'\bfanconi pancytopenia\b', r'\bfanconi panmyelopathy\b'","Aplastic Anaemia","MESH:D000741","Haematological/ Immuunoligcal","High","aplastic","Aplastic Anaemias","Anemia, Aplastic","Fanconi Anemia"
"504","MESH:D029502","r'\bcongenital hypoplastic anemia\b', r'\bcongenital hypoplastic anemias\b'","Aplastic Anaemia","MESH:D000741","Haematological/ Immuunoligcal","High","aplastic","Aplastic Anaemias","Anemia, Aplastic","Anemia, Hypoplastic, Congenital"
"505","MESH:D029503","r'\bblackfan diamond anemia\b', r'\bcongenital erythroid hypoplastic anemia\b', r'\bdiamond blackfan anemia\b', r'\bdiamond blackfan type anemia\b', r'\bhypoplastic congenital anemia\b', r'\bhypoplastic congenital anemias\b', r'\bchronic congenital aregenerative anemia\b', r'\bblackfan diamond disease\b', r'\binherited erythroblastopenia\b', r'\binherited erythroblastopenias\b', r'\berythrogenesis imperfecta\b', r'\berythrogenesis imperfectas\b', r'\baase smith syndrome ii\b', r'\baase syndrome\b', r'\bblackfan diamond syndrome\b', r'\bchronic congenital agenerative anemia\b', r'\bcongenital hypoplastic anemia of blackfan and diamond\b', r'\bcongenital pure red cell anemia\b', r'\bcongenital pure red cell aplasia\b', r'\bdiamond blackfan anemia 1\b', r'\bpure hereditary red cell aplasia\b'","Aplastic Anaemia","MESH:D000741","Haematological/ Immuunoligcal","High","aplastic","Aplastic Anaemias","Anemia, Aplastic","Anemia, Diamond-Blackfan"
"39","MESH:D001195","r'\basbestoses\b', r'\bidiopathic interstitial pneumonitis from asbestos exposure\b', r'\bpulmonary fibrosis from asbestos exposure\b', r'\basbestosis\b'","Asbestosis","MESH:D001195","Respiratory","High","asbestosis","Asbestosis","Asbestosis","Asbestosis"
"282","MESH:D011015","r'\baspiration pneumonias\b', r'\bacid aspiration syndrome\b', r'\bmendelson syndrome\b', r'\bmendelsons syndrome\b', r'\bacid aspiration syndromes\b', r'\baspiration pneumonia\b', r'\bgastric acid aspiration syndrome\b'","Aspiration Pneumonitis","MESH:D011015","Respiratory","High","asp_pneumo","Aspiration pneumonitis","Pneumonia, Aspiration","Pneumonia, Aspiration"
"41","MESH:D001281","r'\bfamilial atrial fibrillation\b', r'\bparoxysmal atrial fibrillation\b', r'\bpersistent atrial fibrillation\b', r'\bfamilial atrial fibrillations\b', r'\bparoxysmal atrial fibrillations\b', r'\bpersistent atrial fibrillations\b', r'\batrial fibrillation\b', r'\bauricular fibrillation\b', r'\batrial fibrillations\b', r'\bauricular fibrillations\b'","Atrial Fibrillation","MESH:D001281","Cardiovascular","High","af","Atrial Fibrillation and flutter","Atrial Fibrillation","Atrial Fibrillation"
"42","MESH:D001282","r'\batrial flutter\b', r'\bauricular flutter\b', r'\batrial flutters\b', r'\bauricular flutters\b'","Atrial Fibrillation","MESH:D001282","Cardiovascular","High","af","Atrial Fibrillation and flutter","Atrial Flutter","Atrial Flutter"
"537","MESH:D054537","r'\bav block\b', r'\bav blocks\b', r'\batrioventricular conduction block\b', r'\batrioventricular conduction blocks\b', r'\batrioventricular blocks\b', r'\batrioventricular block\b'","Atrioventricular Block, first degree","MESH:D054537","Cardiovascular","High","av_block_1","Atrioventricular block, first degree","Atrioventricular Block","Atrioventricular Block"
"536","MESH:D054537","r'\bav block\b', r'\bav blocks\b', r'\batrioventricular conduction block\b', r'\batrioventricular conduction blocks\b', r'\batrioventricular blocks\b', r'\batrioventricular block\b'","Atrioventricular Block, second degree","MESH:D054537","Cardiovascular","High","av_block_2","Atrioventricular Block, second degree","Atrioventricular Block","Atrioventricular Block"
"535","MESH:D054537","r'\bav block\b', r'\bav blocks\b', r'\batrioventricular conduction block\b', r'\batrioventricular conduction blocks\b', r'\batrioventricular blocks\b', r'\batrioventricular block\b'","Atrioventricular Block, third degree","MESH:D054537","Cardiovascular","High","av_block_3","Atrioventricular block, third degree","Atrioventricular Block","Atrioventricular Block"
"472","MESH:D019693","r'\bautoimmune chronic hepatitides\b', r'\bautoimmune chronic hepatitis\b', r'\bautoimmune hepatitides\b', r'\bautoimmune hepatitis\b'","Autoimmune liver disease","MESH:D019693","Digestive","High","autoimm_liver","Autoimmune liver disease","Hepatitis, Autoimmune","Hepatitis, Autoimmune"
"43","MESH:D001424","r'\bbacterial infection\b', r'\bbacterial infections\b'","Bacterial Infection","MESH:D001424","Infections","High","id_bacterial","Bacterial infections","Bacterial Infections","Bacterial Infections"
"415","MESH:D016470","r'\bresistance to bacteremia\b', r'\bbacteremias\b', r'\bbacteremia\b'","Bacterial Infection","MESH:D001424","Infections","High","id_bacterial","Bacterial infections","Bacterial Infections","Bacteremia"
"45","MESH:D001471","r'\bbarrett epithelium\b', r'\bbarrett esophagus\b', r'\bbarretts esophagus\b', r'\bbarrett metaplasia\b', r'\bbarrett metaplasias\b', r'\bbarrett metaplasia adenocarcinoma of esophagus\b', r'\bbarretts syndrome\b', r'\bbarrett syndrome\b'","Barrett's Oesophagus","MESH:D001471","Digestive","High","barretts","Barrett's Oesophagus ","Barrett Esophagus","Barrett Esophagus"
"484","MESH:D020330","r'\bidiopathic acute facial neuropathy\b', r'\bherpetic facial paralyses\b', r'\bidiopathic facial paralyses\b', r'\bherpetic facial paralysis\b', r'\bidiopathic facial paralysis\b', r'\bacute inflammatory facial neuropathy\b', r'\bbell palsies\b', r'\bbells palsies\b', r'\bbell palsy\b', r'\bbells palsy\b', r'\bacute idiopathic facial neuropathy\b'","Bell's Palsy","MESH:D020330","Neurological","High","bells","Bell's palsy","Bell Palsy","Bell Palsy"
"57","MESH:D001932","r'\bbrain benign neoplasm\b', r'\bbrain benign neoplasms\b', r'\bbenign brain neoplasm\b', r'\bmalignant brain neoplasm\b', r'\bprimary brain neoplasm\b', r'\bbenign brain neoplasms\b', r'\bmalignant brain neoplasms\b', r'\bprimary brain neoplasms\b', r'\bprimary malignant brain neoplasms\b', r'\bprimary brain tumor\b', r'\brecurrent brain tumor\b', r'\bprimary brain tumors\b', r'\brecurrent brain tumors\b', r'\bbrain cancer\b', r'\bbrain cancers\b', r'\bbrain malignant neoplasm\b', r'\bbrain malignant neoplasms\b', r'\bbrain neoplasm\b', r'\bintracranial neoplasm\b', r'\bbrain neoplasms\b', r'\bintracranial neoplasms\b', r'\bbrain tumor\b', r'\bbrain tumors\b', r'\bcancer of brain\b', r'\bcancer of the brain\b', r'\bmalignant primary brain neoplasms\b', r'\bmalignant primary brain tumors\b', r'\bprimary malignant brain tumors\b'","Benign Neoplasm, Brain","MESH:D001932","Benign Neoplasm","High","benign_brain","Benign neoplasm - Brain","Brain Neoplasms","Brain Neoplasms"
"91","MESH:D003110","r'\bcolon cancer\b', r'\bcolonic cancer\b', r'\bcolon cancers\b', r'\bcolonic cancers\b', r'\bcolon neoplasm\b', r'\bcolonic neoplasm\b', r'\bcolon neoplasms\b', r'\bcolonic neoplasms\b', r'\bcancer of colon\b', r'\bcancer of the colon\b'","Benign Neoplasm, Colon","MESH:D003110","Benign Neoplasm","High","benign_colon","Benign Neoplasm - Colon","Colonic Neoplasms","Colonic Neoplasms"
"321","MESH:D012811","r'\bsigmoid cancer\b', r'\bsigmoid colon cancer\b', r'\bsigmoid colon neoplasms\b', r'\bsigmoid neoplasm\b', r'\bsigmoid colon neoplasm\b', r'\bsigmoid neoplasms\b', r'\bcancer of sigmoid\b', r'\bcancer of the sigmoid\b', r'\bsigmoidal cancer\b'","Benign Neoplasm, Colon","MESH:D003110","Benign Neoplasm","High","benign_colon","Benign Neoplasm - Colon","Colonic Neoplasms","Sigmoid Neoplasms"
"334","MESH:D013274","r'\bgastric cancer\b', r'\bgastric cancers\b', r'\bstomach cancers\b', r'\bstomach cancer\b', r'\bfamilial diffuse gastric cancer\b', r'\bhereditary diffuse gastric cancer\b', r'\bintestinal gastric cancer\b', r'\bgastric neoplasm\b', r'\bgastric neoplasms\b', r'\bstomach neoplasms\b', r'\bstomach neoplasm\b', r'\bcancer of stomach\b', r'\bcancer of the stomach\b'","Benign Neoplasm, Stomach","MESH:D013274","Benign Neoplasm","High","benign_stomach","Benign Neoplasm - Stomach","Stomach Neoplasms","Stomach Neoplasms"
"294","MESH:D011470","r'\bprostatic adenoma\b', r'\bprostatic adenomas\b', r'\bprostatic hyperplasia\b', r'\bbenign prostatic hypertrophy\b', r'\bbenign prostatic hyperplasia\b', r'\bprostatic hypertrophy\b'","Benign Prostatic Hyperplasia","MESH:D011470","Genitourinary","High","bph","Benign Prostatic Hyperplasia","Prostatic Hyperplasia","Prostatic Hyperplasia"
"52","MESH:D001766","r'\bacquired blindness\b', r'\bcomplete blindness\b', r'\bhysterical blindness\b', r'\blegal blindness\b', r'\bmonocular blindness\b', r'\btransient blindness\b', r'\bamauroses\b', r'\bamaurosis\b', r'\bblindness\b'","Blindness","MESH:D001766","Eye","High","blind","Blindness","Blindness","Blindness"
"471","MESH:D019575","r'\btransient antons syndrome\b', r'\breversible cortical blindnesses\b', r'\breversible cortical blindness\b', r'\banton syndrome\b', r'\banton babinski syndrome\b', r'\bantons syndrome\b', r'\bcortical blindness\b', r'\bpsychic denial of blindness\b', r'\btransient anton syndrome\b'","Blindness","MESH:D001766","Eye","High","blind","Blindness","Blindness","Blindness, Cortical"
