DiseaseName_ARD_Paper,MESH_ID,X,Category,Likelihood.disease.is.ageing.related,Name_node,Phenotyping_Algorithms,MESH_Term,All_MESH,All_MESH_Terms,filter_frames,Updated_Term,Search_term
Abdominal Aortic Aneurysm,MESH:D017544,Abdominal_Aortic_Aneurysm,Cardiovascular,High,aaa,Abdominal Aortic Aneurysm,"Aortic Aneurysm, Abdominal",MESH:D017544,"Aortic Aneurysm, Abdominal","r'\babdominal aortic aneurysm\b', r'\babdominal aortic aneurysms\b'",NA,"r'\babdominal aortic aneurysm\b', r'\babdominal aortic aneurysms\b'"
Abdominal Hernia,MESH:D046449,Abdominal_Hernia,Digestive,High,hernia_abdo,Abdominal Hernia,"Hernia, Abdominal",MESH:D006552,"Hernia, Inguinal","r'\binguinal hernias\b', r'\binguinal hernia\b'",remove unnecessary terms,"r'\binguinal hernias\b', r'\binguinal hernia\b'"
Abdominal Hernia,MESH:D046449,Abdominal_Hernia,Digestive,High,hernia_abdo,Abdominal Hernia,"Hernia, Abdominal",MESH:D006554,"Hernia, Umbilical","r'\bumbilical hernias\b', r'\bumbilical hernia\b', r'\bexomphalos\b', r'\bomphalocele\b', r'\bomphaloceles\b'",NA,"r'\bumbilical hernias\b', r'\bumbilical hernia\b', r'\bexomphalos\b', r'\bomphalocele\b', r'\bomphaloceles\b'"
Abdominal Hernia,MESH:D046449,Abdominal_Hernia,Digestive,High,hernia_abdo,Abdominal Hernia,"Hernia, Abdominal",MESH:D006550,"Hernia, Femoral","r'\bfemoral hernias\b', r'\bfemoral hernia\b'",NA,"r'\bfemoral hernias\b', r'\bfemoral hernia\b'"
Abdominal Hernia,MESH:D046449,Abdominal_Hernia,Digestive,High,hernia_abdo,Abdominal Hernia,"Hernia, Abdominal",MESH:D006555,"Hernia, Ventral","r'\bventral hernias\b', r'\bventral hernia\b'",NA,"r'\bventral hernias\b', r'\bventral hernia\b'"
Abdominal Hernia,MESH:D046449,Abdominal_Hernia,Digestive,High,hernia_abdo,Abdominal Hernia,"Hernia, Abdominal",MESH:D046449,"Hernia, Abdominal","r'\babdominal hernias\b', r'\babdominal hernia\b'",NA,"r'\babdominal hernias\b', r'\babdominal hernia\b'"
Actinic keratosis,MESH:D055623,Actinic_keratosis,Skin,High,act_keratosis,Actinic keratosis,"Keratosis, Actinic",MESH:D055623,"Keratosis, Actinic","r'\bactinic keratoses\b', r'\bactinic keratosis\b'",NA,"r'\bactinic keratoses\b', r'\bactinic keratosis\b'"
Acute Kidney Injury,MESH:D058186,Acute_Kidney_Injury,Genitourinary,High,aki,Acute Kidney Injury,Acute Kidney Injury,MESH:D007683,"Kidney Tubular Necrosis, Acute","r'\blower nephron nephroses\b', r'\blower nephron nephrosis\b', r'\bacute kidney tubular necrosis\b'","added english spelling, acute kidney tubular necroses added and acute tubular necrosis without kidney","r'\blower nephron nephroses\b', r'\blower nephron nephrosis\b', r'\bacute kidney tubular necrosis\b', r'\bacute kidney tubular necroses\b', r'\bacute tubular necrosis\b', r'\bacute tubular necroses\b'"
Acute Kidney Injury,MESH:D058186,Acute_Kidney_Injury,Genitourinary,High,aki,Acute Kidney Injury,Acute Kidney Injury,MESH:D058186,Acute Kidney Injury,"r'\bacute kidney failure\b', r'\bacute kidney failures\b', r'\bacute kidney injuries\b', r'\bacute kidney injury\b', r'\bacute kidney insufficiencies\b', r'\bacute kidney insufficiency\b', r'\bacute renal failure\b', r'\bacute renal failures\b', r'\bacute renal injuries\b', r'\bacute renal injury\b', r'\bacute renal insufficiencies\b', r'\bacute renal insufficiency\b'",NA,"r'\bacute kidney failure\b', r'\bacute kidney failures\b', r'\bacute kidney injuries\b', r'\bacute kidney injury\b', r'\bacute kidney insufficiencies\b', r'\bacute kidney insufficiency\b', r'\bacute renal failure\b', r'\bacute renal failures\b', r'\bacute renal injuries\b', r'\bacute renal injury\b', r'\bacute renal insufficiencies\b', r'\bacute renal insufficiency\b'"
Agranulocytosis,MESH:D000380,Agranulocytosis,Haematological/ Immuunoligcal,High,agranulocytosis,Agranulocytosis,Agranulocytosis,MESH:D000380,Agranulocytosis,"r'\bagranulocytoses\b', r'\bgranulocytopenia\b', r'\bgranulocytopenias\b', r'\bagranulocytosis\b'",added english spelling,"r'\bagranulocytoses\b', r'\bgranulocytopenia\b', r'\bgranulocytopenias\b', r'\bagranulocytosis\b', r'\bgranulocytopaenia\b', r'\bgranulocytopaenias\b'"
